SINIESTRO,LAT,LON,TIPOVEH,ANIO,MES,HORA,ESTADO,CIUDAD,_archivo,lat,lon,tipoveh,moto
6058370,22.2789284,-97.8688645,Motocicleta,2020,DICIEMBRE,14,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2789284,-97.8688645,MOTOCICLETA,True
6059218,22.2521540,-97.8638702,Auto,2020,DICIEMBRE,14,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.252154,-97.8638702,AUTO,False
6059468,22.2687620,-97.8731805,Auto,2020,DICIEMBRE,14,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.268762,-97.8731805,AUTO,False
6059626,22.2400160,-97.8535537,Auto,2020,DICIEMBRE,15,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.240016,-97.8535537,AUTO,False
6059638,22.2532449,-97.8545547,Auto,2020,DICIEMBRE,15,TAMAULIPAS,CIUDAD MADERO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2532449,-97.8545547,AUTO,False
6059517,22.2862198,-97.8481407,Auto,2020,DICIEMBRE,15,TAMAULIPAS,CIUDAD MADERO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2862198,-97.8481407,AUTO,False
6059525,22.3011391,-97.8799532,Auto,2020,DICIEMBRE,16,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.3011391,-97.8799532,AUTO,False
6059227,22.2686846,-97.8733886,Auto,2020,DICIEMBRE,17,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2686846,-97.8733886,AUTO,False
6059928,22.3048124,-97.8581397,Auto,2020,DICIEMBRE,18,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.3048124,-97.8581397,AUTO,False
6059940,22.3127492,-97.8578486,Auto,2020,DICIEMBRE,19,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.3127492,-97.8578486,AUTO,False
6060031,22.2689976,-97.8636685,Auto,2020,DICIEMBRE,19,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2689976,-97.8636685,AUTO,False
6059971,23.7721994,-99.1808687,Auto,2020,DICIEMBRE,21,TAMAULIPAS,VICTORIA,Seguridad_Vial_concatenado_Diciembre_2020.csv,23.7721994,-99.1808687,AUTO,False
6060309,22.3099075,-97.8876427,Auto,2020,DICIEMBRE,23,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.3099075,-97.8876427,AUTO,False
6059761,22.2548601,-97.8531485,Auto,2020,DICIEMBRE,7,TAMAULIPAS,CIUDAD MADERO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2548601,-97.8531485,AUTO,False
6060715,22.2449460,-97.8553379,Auto,2020,DICIEMBRE,10,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.244946,-97.8553379,AUTO,False
6060274,22.2867027,-97.8741198,Auto,2020,DICIEMBRE,11,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2867027,-97.8741198,AUTO,False
6060744,22.2781640,-97.8729376,Auto,2020,DICIEMBRE,12,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.278164,-97.8729376,AUTO,False
6060854,22.2663837,-97.8590950,\N,2020,DICIEMBRE,12,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2663837,-97.859095,\N,False
6061075,22.2507734,-97.8480326,Auto,2020,DICIEMBRE,17,TAMAULIPAS,CIUDAD MADERO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2507734,-97.8480326,AUTO,False
6061265,23.7386120,-99.1345238,Auto,2020,DICIEMBRE,10,TAMAULIPAS,VICTORIA,Seguridad_Vial_concatenado_Diciembre_2020.csv,23.738612,-99.1345238,AUTO,False
6061659,22.2888706,-97.8510635,Auto,2020,DICIEMBRE,12,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2888706,-97.8510635,AUTO,False
