SINIESTRO,LAT,LON,TIPOVEH,ANIO,MES,HORA,ESTADO,CIUDAD,_archivo,lat,lon,tipoveh,moto,urbano,en_rect,ciudad_std
5018842.0,22.2507547,-97.8696417,Auto,2019,ENERO,10,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2507547,-97.8696417,AUTO,False,True,True,TAMPICO
5018845.0,22.3233122,-97.8775736,Auto,2019,ENERO,10,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.3233122,-97.8775736,AUTO,False,True,True,TAMPICO
5018906.0,22.278554,-97.872617,Auto,2019,ENERO,10,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.278554,-97.872617,AUTO,False,True,True,TAMPICO
5019027.0,22.29524,-97.8792257,Auto,2019,ENERO,12,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.29524,-97.8792257,AUTO,False,True,True,TAMPICO
5019073.0,22.2779655,-97.8795308,Camión Ligero,2019,ENERO,13,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2779655,-97.8795308,CAMION LIGERO,False,True,True,TAMPICO
5019409.0,22.2633667,-97.8605495,Auto,2019,ENERO,14,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2633667,-97.8605495,AUTO,False,True,True,TAMPICO
5019721.0,22.2276723,-97.8649447,Auto,2019,ENERO,17,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2276723,-97.8649447,AUTO,False,True,True,TAMPICO
5019865.0,22.2711336,-97.872349,Auto,2019,ENERO,18,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2711336,-97.872349,AUTO,False,True,True,TAMPICO
5020550.0,22.3235894,-97.8738976,Auto,2019,ENERO,7,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.3235894,-97.8738976,AUTO,False,True,True,TAMPICO
5020988.0,22.2732482,-97.8780834,Auto,2019,ENERO,13,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2732482,-97.8780834,AUTO,False,True,True,TAMPICO
5021201.0,22.3160133,-97.8789236,Auto,2019,ENERO,13,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.3160133,-97.8789236,AUTO,False,True,True,TAMPICO
5021287.0,22.2492932,-97.8703534,Auto,2019,ENERO,14,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2492932,-97.8703534,AUTO,False,True,True,TAMPICO
5020251.0,22.2411755,-97.8470965,Auto,2019,ENERO,19,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2411755,-97.8470965,AUTO,False,True,True,TAMPICO
5020320.0,22.2422899,-97.8670568,Auto,2019,ENERO,20,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2422899,-97.8670568,AUTO,False,True,True,TAMPICO
5022039.0,22.25643,-97.867526,Auto,2019,ENERO,21,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.25643,-97.867526,AUTO,False,True,True,TAMPICO
5022120.0,22.2761198,-97.8803888,Auto,2019,ENERO,21,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2761198,-97.8803888,AUTO,False,True,True,TAMPICO
5022127.0,22.300956,-97.8957635,Auto,2019,ENERO,22,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.300956,-97.8957635,AUTO,False,True,True,TAMPICO
