UNIDAD,FECHA DE INICIO,AÑO,DELITO,MODALIDAD,MUNICIPIO_HECHO,LATITUD,LONGITUD,lat,lon,geo_ok
UNIDAD 1 ADOLESCENTES VICTORIA,01/04/2020,2020.0,LESIONES,CULPOSO,VICTORIA,23.74328050163261,-99.12651389837266,23.74328050163261,-99.12651389837266,True
ATENCION INMEDIATA DE CIUDAD MADERO,01/04/2020,2020.0,LESIONES,CULPOSO,CIUDAD MADERO,22.24739597186728,-97.83716906114921,22.24739597186728,-97.8371690611492,True
UNIDAD CIUDAD MADERO 1A.,01/04/2021,2021.0,LESIONES,CULPOSO,CIUDAD MADERO,21.5632347,-98.3322076,21.5632347,-98.3322076,False
UNIDAD REYNOSA 2A.,01/04/2022,2022.0,LESIONES,CULPOSO,REYNOSA,26.055901,-98.296873,26.055901,-98.296873,True
UNIDAD CIUDAD MADERO 3,01/04/2022,2022.0,LESIONES,CULPOSO,CIUDAD MADERO,22.278187657006246,-97.82850219214357,22.27818765700625,-97.82850219214356,True
UNIDAD TAMPICO 4,01/04/2023,2023.0,HOMICIDIO,CULPOSO,TAMPICO,22.21896446232229,-97.86133296839665,22.21896446232229,-97.86133296839664,True
UNIDAD REYNOSA 2A.,01/04/2023,2023.0,HOMICIDIO,CULPOSO,REYNOSA,25.782388594826475,-99.28883557488463,25.782388594826475,-99.28883557488464,True
UNIDAD MATAMOROS 1A.,01/04/2023,2023.0,HOMICIDIO,CULPOSO,MATAMOROS,25.869416631779046,-97.55408357864803,25.86941663177905,-97.55408357864803,True
UNIDAD TAMPICO 4,01/04/2024,2024.0,LESIONES,CULPOSO,TAMPICO,22.265362,-97.87093,22.265362,-97.87093,True
UNIDAD NUEVO LAREDO 1A.,01/04/2024,2024.0,HOMICIDIO,CULPOSO,NUEVO LAREDO,27.517236626552663,-99.55438741764694,27.517236626552663,-99.55438741764694,True
UNIDAD CIUDAD MADERO 3,01/04/2024,2024.0,LESIONES,CULPOSO,CIUDAD MADERO,22.233868131701495,-97.84241774935326,22.23386813170149,-97.84241774935326,True
UGI VICTORIA 3A,01/04/2024,2024.0,LESIONES,CULPOSO,VICTORIA,,,,,False
ATENCION INMEDIATA EN REYNOSA,01/04/2026,2026.0,LESIONES,CULPOSO,REYNOSA,26.032113347631466,-98.34302186965944,26.032113347631466,-98.34302186965944,True
UNIDAD TAMPICO 4,01/04/2026,2026.0,LESIONES,CULPOSO,TAMPICO,22.26611036002309,-97.85954890807238,22.26611036002309,-97.85954890807238,True
UNIDAD CIUDAD MADERO 1A.,01/04/2026,2026.0,LESIONES,CULPOSO,CIUDAD MADERO,22.24421566577007,-97.83969821059964,22.24421566577007,-97.83969821059964,True
UNIDAD NUEVO LAREDO 1A.,01/04/2026,2026.0,HOMICIDIO,CULPOSO,NUEVO LAREDO,27.456661882067912,-99.5512157745529,27.456661882067912,-99.5512157745529,True
UNIDAD NUEVO LAREDO 3,01/05/2017,2017.0,HOMICIDIO,CULPOSO,NUEVO LAREDO,27.462460254979195,-99.53178028513125,27.462460254979195,-99.53178028513123,True
UNIDAD VICTORIA 5A.,01/05/2017,2017.0,LESIONES,CULPOSO,VICTORIA,23.712301019063066,-99.14059061697749,23.712301019063062,-99.14059061697748,True
UNIDAD REYNOSA 3A.,01/05/2019,2019.0,LESIONES,CULPOSO,REYNOSA,26.0845575,98.28546,26.0845575,-98.28546,True
UNIDAD NUEVO LAREDO 2A.,01/05/2021,2021.0,HOMICIDIO,CULPOSO,NUEVO LAREDO,27.502514156749502,-99.53673362731935,27.502514156749506,-99.53673362731936,True
UNIDAD TAMPICO 1A.,01/05/2021,2021.0,HOMICIDIO,CULPOSO,TAMPICO,22.23147494654113,-97.85948866103809,22.23147494654113,-97.85948866103809,True
UNIDAD TAMPICO 1A.,01/05/2021,2021.0,LESIONES,CULPOSO,TAMPICO,22.26789400626879,-97.842968778177,22.26789400626879,-97.842968778177,True
UNIDAD REYNOSA 2A.,01/05/2022,2022.0,LESIONES,CULPOSO,REYNOSA,26.044826229788725,-98.31035956000824,26.044826229788725,-98.31035956000824,True
UNIDAD REYNOSA 2A.,01/05/2022,2022.0,HOMICIDIO,CULPOSO,REYNOSA,26.0553914,-98.3018252,26.0553914,-98.3018252,True
UNIDAD TAMPICO 1A.,01/05/2022,2022.0,LESIONES,CULPOSO,TAMPICO,22.26803945069276,-97.84295846904013,22.26803945069276,-97.84295846904013,True
UNIDAD TAMPICO 1A.,01/05/2022,2022.0,LESIONES,CULPOSO,TAMPICO,22.221000525265605,-97.86334231617697,22.221000525265605,-97.86334231617695,True
UNIDAD TAMPICO 1A.,01/05/2022,2022.0,LESIONES,CULPOSO,TAMPICO,22.278559697041487,-97.88533064601175,22.278559697041487,-97.88533064601177,True
UNIDAD CIUDAD MADERO 3,01/05/2022,2022.0,LESIONES,CULPOSO,CIUDAD MADERO,22.28367771416228,-97.80079248917647,22.28367771416228,-97.80079248917647,True
UGI VICTORIA 1A.,01/05/2023,2023.0,LESIONES,CULPOSO,VICTORIA,23.731155,-99.142364,23.731155,-99.142364,True
UNIDAD TAMPICO 4,01/05/2024,2024.0,LESIONES,CULPOSO,TAMPICO,22.270052,-97.86513,22.270052,-97.86513,True
UNIDAD TAMPICO 4,01/05/2024,2024.0,HOMICIDIO,CULPOSO,TAMPICO,22.2802265,-97.873064,22.2802265,-97.873064,True
UNIDAD CIUDAD MADERO 1A.,01/05/2024,2024.0,LESIONES,CULPOSO,CIUDAD MADERO,22.2555141510787,-97.8333728831493,22.2555141510787,-97.8333728831493,True
UNIDAD TAMPICO 4,01/05/2024,2024.0,LESIONES,CULPOSO,TAMPICO,22.235708,97.87058,22.235708,-97.87058,True
UNIDAD REYNOSA 3A.,01/05/2025,2025.0,LESIONES,CULPOSO,REYNOSA,26.061129700154986,-98.29373359680177,26.061129700154986,-98.29373359680176,True
UNIDAD REYNOSA 3A.,01/05/2025,2025.0,HOMICIDIO,CULPOSO,REYNOSA,26.0809907,98.3041952,26.0809907,-98.3041952,True
UNIDAD NUEVO LAREDO 1A.,01/05/2025,2025.0,LESIONES,CULPOSO,NUEVO LAREDO,27.253072533752462,-99.51749769801985,27.253072533752466,-99.51749769801984,True
UNIDAD CIUDAD MADERO 1A.,01/05/2026,2026.0,LESIONES,CULPOSO,CIUDAD MADERO,22.255686103267106,-97.85258225545326,22.255686103267102,-97.85258225545326,True
UNIDAD MATAMOROS 3,01/05/2026,2026.0,LESIONES,CULPOSO,MATAMOROS,25.827134749476706,-97.53252267837524,25.827134749476706,-97.53252267837524,True
UNIDAD NUEVO LAREDO 2A.,01/06/2016,2016.0,LESIONES,CULPOSO,NUEVO LAREDO,27.5020799235904,-99.5838063955307,27.5020799235904,-99.5838063955307,True
UNIDAD REYNOSA 2A.,01/06/2016,2016.0,HOMICIDIO,CULPOSO,REYNOSA,26.0228442114829,-98.2380428910255,26.0228442114829,-98.2380428910255,True
UNIDAD TAMPICO 1A.,01/06/2016,2016.0,LESIONES,CULPOSO,TAMPICO,22.2715278973161,-97.8743863105774,22.2715278973161,-97.8743863105774,True
UNIDAD NUEVO LAREDO 1A.,01/06/2016,2016.0,LESIONES,CULPOSO,NUEVO LAREDO,27.4927326714942,-99.4996654987335,27.4927326714942,-99.4996654987335,True
UNIDAD NUEVO LAREDO 3,01/06/2017,2017.0,LESIONES,CULPOSO,NUEVO LAREDO,27.514540948424266,-99.5911417669021,27.514540948424266,-99.5911417669021,True
UNIDAD REYNOSA 3A.,01/06/2017,2017.0,LESIONES,CULPOSO,REYNOSA,26.0553877265818,-98.2969549298286,26.0553877265818,-98.2969549298286,True
UNIDAD DE INVESTIGACION Y LITIGACION-SIIPPTAM,01/06/2018,2018.0,LESIONES,CULPOSO,VICTORIA,23.7331988395368,-99.1368862060937,23.7331988395368,-99.1368862060937,True
UNIDAD REYNOSA 3A.,01/06/2019,2019.0,LESIONES,CULPOSO,REYNOSA,26.0823687,98.30495,26.0823687,-98.30495,True
UNIDAD REYNOSA 3A.,01/06/2019,2019.0,LESIONES,CULPOSO,REYNOSA,26.0823687,98.30495,26.0823687,-98.30495,True
UNIDAD VICTORIA 4A.,01/06/2019,2019.0,LESIONES,CULPOSO,VICTORIA,23.76840104896232,-99.1667542008902,23.76840104896232,-99.1667542008902,True
UNIDAD TAMPICO 1A.,01/06/2020,2020.0,LESIONES,CULPOSO,TAMPICO,22.29711950891345,-97.88985387050008,22.29711950891345,-97.88985387050008,True
UNIDAD TAMPICO 1A.,01/06/2020,2020.0,LESIONES,CULPOSO,TAMPICO,22.267980751676024,-97.84294289561655,22.267980751676024,-97.84294289561656,True
UNIDAD TAMPICO 2A.,01/06/2021,2021.0,LESIONES,CULPOSO,TAMPICO,22.30778500241653,-97.87847827977949,22.30778500241653,-97.87847827977949,True
UNIDAD NUEVO LAREDO 1A.,01/06/2021,2021.0,HOMICIDIO,CULPOSO,NUEVO LAREDO,27.47637313609467,-99.53601479530334,27.47637313609467,-99.53601479530334,True
ATENCION INMEDIATA VICTORIA,01/06/2021,2021.0,LESIONES,CULPOSO,VICTORIA,23.7748677,-99.171474,23.7748677,-99.171474,True
UNIDAD TAMPICO 2A.,01/06/2022,2022.0,HOMICIDIO,CULPOSO,CIUDAD MADERO,22.22413295246123,-97.85993516964602,22.22413295246123,-97.85993516964602,True
UNIDAD TAMPICO 4,01/06/2023,2023.0,LESIONES,CULPOSO,TAMPICO,22.308503449956273,-97.86538177049188,22.308503449956277,-97.86538177049188,True
UNIDAD REYNOSA 3A.,01/06/2023,2023.0,LESIONES,CULPOSO,REYNOSA,26.0856547,98.34379,26.0856547,-98.34379,True
UNIDAD CIUDAD MADERO 1A.,01/06/2023,2023.0,LESIONES,CULPOSO,CIUDAD MADERO,22.27155061957242,-97.79132954553009,22.27155061957242,-97.79132954553008,True
UNIDAD MATAMOROS 1A.,01/06/2023,2023.0,HOMICIDIO,CULPOSO,MATAMOROS,25.81794550272281,-97.51959108460314,25.81794550272281,-97.51959108460314,True
ATENCION INMEDIATA EN TAMPICO,01/06/2023,2023.0,LESIONES,CULPOSO,TAMPICO,22.222182728779686,-97.86038156132157,22.22218272877969,-97.86038156132156,True
UGI VICTORIA 3A,01/06/2023,2023.0,LESIONES,CULPOSO,VICTORIA,23.720427768610513,-99.149897,23.720427768610516,-99.149897,True
UNIDAD TAMPICO 4,01/06/2025,2025.0,LESIONES,CULPOSO,TAMPICO,22.268078465947568,-97.84643893352406,22.268078465947568,-97.84643893352406,True
UNIDAD NUEVO LAREDO 2A.,01/06/2025,2025.0,LESIONES,CULPOSO,NUEVO LAREDO,27.480780389361826,-99.49771498670067,27.480780389361826,-99.49771498670069,True
UNIDAD REYNOSA 3A.,01/06/2025,2025.0,LESIONES,CULPOSO,REYNOSA,26.072232139111893,-98.27382087707521,26.072232139111893,-98.2738208770752,True
UNIDAD REYNOSA 3A.,01/06/2025,2025.0,HOMICIDIO,CULPOSO,REYNOSA,26.000450080711445,-98.25264215469362,26.000450080711445,-98.25264215469362,True
UNIDAD TAMPICO 4,01/06/2026,2026.0,LESIONES,CULPOSO,TAMPICO,22.242542740420934,-97.8670630308781,22.242542740420934,-97.8670630308781,True
UNIDAD CIUDAD MADERO 3,01/06/2026,2026.0,LESIONES,CULPOSO,CIUDAD MADERO,22.305326444832215,-97.86870002746583,22.30532644483221,-97.86870002746583,True
UNIDAD VICTORIA 2A,01/07/2016,2016.0,LESIONES,CULPOSO,VICTORIA,23.8193631041524,-99.1237163543701,23.8193631041524,-99.1237163543701,True
UNIDAD REYNOSA 3A.,01/07/2017,2017.0,LESIONES,CULPOSO,REYNOSA,26.0614320917186,-98.25847864151,26.0614320917186,-98.25847864151,True
UNIDAD TAMPICO 1A.,01/07/2017,2017.0,HOMICIDIO,CULPOSO,TAMPICO,22.21919707479096,-97.87664477381128,22.21919707479096,-97.87664477381128,True
UNIDAD MATAMOROS 3,01/07/2019,2019.0,HOMICIDIO,CULPOSO,MATAMOROS,25.82588172633871,-97.48503684997559,25.82588172633871,-97.4850368499756,True
UNIDAD MATAMOROS 1A.,01/07/2019,2019.0,HOMICIDIO,CULPOSO,MATAMOROS,25.872846231675243,-97.50613242387773,25.872846231675243,-97.50613242387772,True
UNIDAD CIUDAD MADERO 3,01/07/2019,2019.0,HOMICIDIO,CULPOSO,CIUDAD MADERO,22.24716027799075,-97.8556527319719,22.24716027799075,-97.8556527319719,True
UNIDAD VICTORIA 4A.,01/07/2019,2019.0,LESIONES,CULPOSO,VICTORIA,23.71798382657137,-99.04021519952435,23.71798382657137,-99.04021519952435,True
UNIDAD VICTORIA 4A.,01/07/2019,2019.0,LESIONES,CULPOSO,VICTORIA,23.805179670922225,-99.12883314198291,23.805179670922225,-99.12883314198292,True
UNIDAD REYNOSA 2A.,01/07/2020,2020.0,HOMICIDIO,CULPOSO,REYNOSA,26.0666998,-98.32238,26.0666998,-98.32238,True
UNIDAD MATAMOROS 1A.,01/07/2021,2021.0,HOMICIDIO,CULPOSO,MATAMOROS,25.848301351097305,-97.50325441360474,25.848301351097305,-97.50325441360474,True
ATENCION INMEDIATA EN MATAMOROS,01/07/2021,2021.0,LESIONES,CULPOSO,MATAMOROS,25.84551355622376,-97.49393191020235,25.84551355622376,-97.49393191020236,True
UNIDAD NUEVO LAREDO 3,01/07/2022,2022.0,HOMICIDIO,CULPOSO,NUEVO LAREDO,27.425769890554076,-99.53199961881671,27.42576989055408,-99.53199961881673,True
